Codice Provincia;Codice Istat del Comune;Denominazione;Sigla Automobilistica della Provincia
001;001801;Abbadia Alpina;TO
001;001802;Avuglione e Vernone;TO
001;001803;Baio Dora;TO
001;001804;Bairo Torre;TO
001;001805;Baratonia;TO
001;001806;Bardassano;TO
001;001807;Beaulard;TO
001;001808;Bonzo;TO
001;001809;Bousson;TO
001;001810;Bovile;TO
001;001811;Bussolino Gassinese;TO
001;001812;Camagna di Torino;TO
001;001813;Campiglia Soana;TO
001;001814;Campo Canavese;TO
001;001815;Caravino;TO
001;001816;Cavoretto;TO
001;001817;Cesnola;TO
001;001818;Champlas-Du-Col;TO
001;001819;Chiabrano;TO
001;001820;Col San Giovanni;TO
001;001821;Desertes;TO
001;001822;Drusacco;TO
001;001823;Faetto;TO
001;001824;Favria-Oglianico;TO
001;001825;Fenile;TO
001;001826;Fenils;TO
001;001827;Foresto di Susa;TO
001;001828;Forno Alpi Graie;TO
001;001829;Frassinere;TO
001;001830;Gauna;TO
001;001831;Inverso Porte;TO
001;001832;Luserna;TO
001;001833;Maniglia;TO
001;001834;Marcorengo;TO
001;001835;Meano;TO
001;001836;Melezet;TO
001;001837;Mentoulles;TO
001;001838;Millaures;TO
001;001839;Mocchie;TO
001;001840;Mollieres;TO
001;001841;Monasterolo Torinese;TO
001;001842;Mondrone;TO
001;001843;Montestrutto;TO
001;001844;Muriaglio;TO
001;001845;Novareglia;TO
001;001846;Palazzo Piverone;TO
001;001847;Pedanea;TO
001;001848;Piazzo;TO
001;001849;Priacco;TO
001;001850;Revigliasco Torinese;TO
001;001851;Riclaretto;TO
001;001852;Rivera;TO
001;001853;Roccapiatta;TO
001;001854;Rochemolles;TO
001;001855;Rodoretto;TO
001;001856;Rollieres;TO
001;001857;Salecanischio;TO
001;001858;Sale Castelnuovo;TO
001;001859;Salto;TO
001;001860;San Gillio Torinese;TO
001;001861;San Giovanni Pellice;TO
001;001862;San Martino di Perrero;TO
001;001863;Savoulx;TO
001;001864;Solomiac;TO
001;001865;Strambino Romano;TO
001;001866;Tavernette;TO
001;001867;Thures;TO
001;001868;Tina;TO
001;001869;Traverse;TO
001;001870;Valchiusella;TO
001;001871;Valprato;TO
001;001872;Villa Castelnuovo;TO
002;002019;Breia;VC
002;002038;Cellio;VC
002;002111;Rima San Giuseppe;VC
002;002112;Rimasco;VC
002;002123;Sabbia;VC
002;002801;Agnona;VC
002;002802;Andorno Cacciorna;VC
002;002803;Aranco;VC
002;002804;Bornate;VC
